id,first_name,last_name,full_name,height_feet,height_inches,actual_height_ft,position,weight_pounds,team.id,team.abbreviation,team.city,team.conference,team.division,team.full_name,team.name,mpg,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,blk,stl,pf,turnover,pts,TmMP,TmFGA,TmFTA,TmTOV,usage
322,Donovan,Mitchell,Donovan Mitchell,6,3,6.25,G,215,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,34.61666667,9.63,20.13,0.478,3.5,8,0.438,4.5,5.25,0.857,0.88,3,3.88,6.25,0.63,1.38,2.88,3.13,27.25,271.35,100.57,27.47,16.42,31.05682918
343,Raul,Neto,Raul Neto,6,1,6.083333333,G,179,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,10.61666667,1.25,3,0.417,0.38,1.13,0.333,0.75,0.75,1,0.25,1.25,1.5,1.63,0,0.5,0.75,0.5,3.63,271.35,100.57,27.47,16.42,15.16778708
359,Cedi,Osman,Cedi Osman,6,8,6.666666667,F,215,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,24,3.63,8.38,0.433,1.88,4.88,0.385,1.38,1.75,0.786,0.38,2.38,2.75,2.25,0.13,0.13,2.63,1.13,10.5,271.35,100.57,27.47,16.42,18.00916199
3116,Darius,Garland,Darius Garland,6,1,6.08,G,192,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,34.6,7,17.8,0.394,3.4,7.9,0.429,4,5.1,0.78,0.5,2,2.5,8,0.3,1.4,2.4,2.9,21.4,271.35,100.57,27.47,16.42,27.88076377
3117,Evan,Mobley,Evan Mobley,6,11,6.92,F,215,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,33.7,6.2,11.1,0.561,0.1,0.8,0.182,2.6,3.7,0.692,2.4,5.1,7.5,2.1,1.4,0.9,3.1,2.2,15.1,271.35,100.57,27.47,16.42,18.62444574
3118,Dean,Wade,Dean Wade,6,9,6.75,F,228,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,22.8,2.5,4.6,0.529,1.6,3.3,0.5,0.7,1,0.727,0.5,2.8,3.3,1,0.4,0.5,2.5,0.4,7.3,271.35,100.57,27.47,16.42,10.03172652
3119,Isaac,Okoro,Isaac Okoro,6,5,6.42,F,225,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,16.4,1,2.8,0.359,0.1,1,0.071,0.6,0.9,0.75,0.4,1,1.4,0.4,0.1,0.6,2.1,0.9,2.7,271.35,100.57,27.47,16.42,10.50092923
12,Kyle,Anderson,Kyle Anderson,6,9,6.75,F,230,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,10.2,0.8,1.3,0.615,0.2,0.4,0.5,0.9,1.1,0.818,0.4,1.3,1.7,1.4,0.2,0.4,0.8,0.4,2.7,243.4,90,23.1,15.6,9.00387604
159,Bryn,Forbes,Bryn Forbes,6,3,6.25,G,190,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,6,0.4,1.8,0.222,0.1,0.8,0.125,0.4,0.4,1,0.3,0.2,0.5,0.4,0,0.3,0.4,0.2,1.3,243.4,90,23.1,15.6,15.25052118
176,Rudy,Gobert,Rudy Gobert,7,1,7.083333333,C,245,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,29.1,4.3,7.3,0.589,0,0.2,0,2.7,4.3,0.628,4.2,8.3,12.5,1,1.4,0.6,2.3,1.2,11.3,243.4,90,23.1,15.6,15.01700046
